datetime,co,Lat,Long,day,month,year,hour,gmt,no2,o3,pm10,pm25,so2
2018-06-21 17:00:00,0.32,34.06643,-118.22675,1,06,2018,17,-08:00,0.023,0.028999999999999998,61.0,32.0,0.001
2018-06-08 13:00:00,0.73,34.06643,-118.22675,8,06,2018,13,-08:00,0.027999999999999997,0.002,48.0,22.0,0.001
2018-06-12 06:00:00,0.21,34.06643,-118.22675,2,06,2018,06,-08:00,0.009000000000000001,0.031,37.0,13.0,0.001
2018-06-03 18:00:00,0.28,34.06643,-118.22675,3,06,2018,18,-08:00,0.011000000000000001,0.05,43.0,22.0,0.001
2018-05-10 02:00:00,0.2,34.06643,-118.22675,0,05,2018,02,-08:00,0.013000000000000001,0.032,34.0,17.0,0.0
2018-08-18 14:00:00,0.38,34.06643,-118.22675,8,08,2018,14,-08:00,0.015,0.012,29.0,19.0,0.0
2018-07-17 06:00:00,0.18,34.06643,-118.22675,7,07,2018,06,-08:00,0.005,0.021,21.0,9.0,0.0
2018-07-29 00:00:00,0.21,34.06643,-118.22675,9,07,2018,00,-08:00,0.005,0.045,27.0,16.0,0.0
2018-07-03 11:00:00,0.08,34.06643,-118.22675,3,07,2018,11,-08:00,0.008,0.021,22.0,10.0,0.0
2018-07-28 05:00:00,0.37,34.06643,-118.22675,8,07,2018,05,-08:00,0.018000000000000002,0.019,34.0,18.0,0.0
2018-06-10 14:00:00,0.12,34.06643,-118.22675,0,06,2018,14,-08:00,0.006,0.024,41.0,21.0,0.001
2017-05-29 07:00:00,0.18,34.0669,-118.2417,9,05,2017,07,-08:00,0.006,0.035,29.0,11.0,0.0
2017-05-29 23:00:00,0.18,34.0669,-118.2417,9,05,2017,23,-08:00,0.006,0.055,28.0,16.0,0.0
2017-05-29 08:00:00,0.14,34.0669,-118.2417,9,05,2017,08,-08:00,0.004,0.036000000000000004,23.0,12.0,0.0
2017-05-29 09:00:00,0.13,34.0669,-118.2417,9,05,2017,09,-08:00,0.004,0.036000000000000004,29.0,12.0,0.0
2017-05-29 10:00:00,0.13,34.0669,-118.2417,9,05,2017,10,-08:00,0.004,0.035,23.0,9.0,0.0
2017-05-29 11:00:00,0.13,34.0669,-118.2417,9,05,2017,11,-08:00,0.005,0.033,26.0,18.0,0.0
2017-05-29 12:00:00,0.13,34.0669,-118.2417,9,05,2017,12,-08:00,0.005,0.034,27.0,17.0,0.0
2017-05-29 13:00:00,0.14,34.0669,-118.2417,9,05,2017,13,-08:00,0.006999999999999999,0.032,30.0,19.0,0.0
2017-05-29 14:00:00,0.14,34.0669,-118.2417,9,05,2017,14,-08:00,0.008,0.033,30.0,18.0,0.0
2017-05-29 15:00:00,0.18,34.0669,-118.2417,9,05,2017,15,-08:00,0.006999999999999999,0.037000000000000005,28.0,24.0,0.0
2017-05-29 16:00:00,0.19,34.0669,-118.2417,9,05,2017,16,-08:00,0.008,0.038,34.0,24.0,0.0
2017-02-28 22:00:00,0.2,34.0669,-118.2417,8,02,2017,22,-08:00,0.006999999999999999,0.049,18.0,6.0,0.0
2017-02-28 19:00:00,0.21,34.0669,-118.2417,8,02,2017,19,-08:00,0.01,0.04,19.0,9.0,0.0
2018-07-08 10:00:00,0.41,34.06643,-118.22675,8,07,2018,10,-08:00,0.017,0.025,31.0,26.0,0.001
2018-07-28 08:00:00,0.34,34.06643,-118.22675,8,07,2018,08,-08:00,0.019,0.013000000000000001,34.0,25.0,0.0
2018-08-02 04:00:00,0.16,34.06643,-118.22675,2,08,2018,04,-08:00,0.005,0.025,14.0,11.0,0.0
2018-08-02 07:00:00,0.19,34.06643,-118.22675,2,08,2018,07,-08:00,0.01,0.016,19.0,15.0,0.0
2018-09-06 19:00:00,0.24,34.06643,-118.22675,6,09,2018,19,-08:00,0.006999999999999999,0.040999999999999995,29.0,10.0,0.0
2018-05-06 18:00:00,0.27,34.06643,-118.22675,6,05,2018,18,-08:00,0.013999999999999999,0.05,44.0,21.0,0.001
2018-07-22 01:00:00,0.13,34.06643,-118.22675,2,07,2018,01,-08:00,0.003,0.028999999999999998,15.0,6.0,0.0
2018-08-28 13:00:00,0.33,34.06643,-118.22675,8,08,2018,13,-08:00,0.019,0.008,34.0,18.0,0.0
2018-07-22 23:00:00,0.13,34.06643,-118.22675,2,07,2018,23,-08:00,0.002,0.032,15.0,6.0,0.0
2018-08-28 19:00:00,0.41,34.06643,-118.22675,8,08,2018,19,-08:00,0.018000000000000002,0.047,55.0,26.0,0.0
2018-09-15 06:00:00,0.36,34.06643,-118.22675,5,09,2018,06,-08:00,0.03,0.009000000000000001,47.0,15.0,0.001
2018-05-18 09:00:00,0.1,34.06643,-118.22675,8,05,2018,09,-08:00,0.009000000000000001,0.027999999999999997,22.0,12.0,0.0
2018-09-15 05:00:00,0.34,34.06643,-118.22675,5,09,2018,05,-08:00,0.031,0.012,41.0,12.0,0.001
2018-06-13 19:00:00,0.35,34.06643,-118.22675,3,06,2018,19,-08:00,0.021,0.045,75.0,33.0,0.001
2018-07-27 20:00:00,0.39,34.06643,-118.22675,7,07,2018,20,-08:00,0.019,0.054000000000000006,49.0,26.0,0.001
2018-06-21 16:00:00,0.31,34.06643,-118.22675,1,06,2018,16,-08:00,0.023,0.023,54.0,29.0,0.001
2018-05-18 10:00:00,0.12,34.06643,-118.22675,8,05,2018,10,-08:00,0.006999999999999999,0.03,27.0,14.0,0.0
2018-07-16 00:00:00,0.18,34.06643,-118.22675,6,07,2018,00,-08:00,0.004,0.042,42.0,14.0,0.0
2018-08-18 05:00:00,0.2,34.06643,-118.22675,8,08,2018,05,-08:00,0.005,0.024,22.0,16.0,0.0
